Teenage Birth Rates,Mean Parent Income,School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,HS Dropout Rate
0.247,37700.0,5.021,17.0,-14.15,-0.019
0.21,59100.0,5.261,18.1,-7.685,0.012
0.251,48900.0,5.261,18.1,-7.685,0.012
0.23199999999999998,50300.0,5.261,18.1,-7.685,0.012
0.251,46600.0,5.261,18.1,-7.685,0.012
0.214,65800.0,5.261,18.1,-7.685,0.012
0.16899999999999998,75500.0,5.261,18.1,-7.685,0.012
0.24,53600.0,5.261,18.1,-7.685,0.012
0.263,47300.0,5.261,18.1,-7.685,0.012
0.23199999999999998,70300.0,5.261,18.1,-7.685,0.012
0.273,50600.0,5.324,16.3,-4.992,0.035
0.222,66000.0,5.324,16.3,-4.992,0.035
0.259,47800.0,5.324,16.3,-4.992,0.035
0.198,67800.0,5.324,16.3,-4.992,0.035
0.23399999999999999,57100.0,5.324,16.3,-4.992,0.035
0.24,54600.0,5.324,16.3,-4.992,0.035
0.258,49700.0,5.324,16.3,-4.992,0.035
0.23399999999999999,92000.0,5.324,16.3,-4.992,0.035
0.193,48700.0,5.282,16.9,-20.059,-0.006999999999999999
0.24,34600.0,5.282,16.9,-20.059,-0.006999999999999999
0.192,52800.0,5.282,16.9,-20.059,-0.006999999999999999
0.249,38800.0,5.282,16.9,-20.059,-0.006999999999999999
0.23,47300.0,4.659,17.8,-14.074000000000002,-0.004
0.245,39900.0,4.659,17.8,-14.074000000000002,-0.004
0.249,50300.0,4.659,17.8,-14.074000000000002,-0.004
0.19399999999999998,49200.0,4.659,17.8,-14.074000000000002,-0.004
0.19,64700.0,4.822,17.2,-11.823,0.006
0.205,55100.0,4.822,17.2,-11.823,0.006
0.215,47900.0,4.822,17.2,-11.823,0.006
0.207,52800.0,4.822,17.2,-11.823,0.006
0.18600000000000003,70300.0,4.822,17.2,-11.823,0.006
0.214,60700.0,4.862,16.6,-3.315,-0.006999999999999999
0.168,57600.0,4.862,16.6,-3.315,-0.006999999999999999
0.156,74000.0,4.862,16.6,-3.315,-0.006999999999999999
0.19899999999999998,54400.0,4.862,16.6,-3.315,-0.006999999999999999
0.168,47700.0,4.862,16.6,-3.315,-0.006999999999999999
0.213,42600.0,4.63,17.6,-16.944000000000003,0.004
0.23199999999999998,55400.0,4.63,17.6,-16.944000000000003,0.004
0.222,57100.0,4.63,17.6,-16.944000000000003,0.004
0.213,53400.0,4.635,16.7,-10.041,0.006
0.19399999999999998,43600.0,4.635,16.7,-10.041,0.006
0.228,54400.0,4.635,16.7,-10.041,0.006
0.22,55900.0,4.591,17.6,-7.767,0.009000000000000001
0.201,59500.0,4.591,17.6,-7.767,0.009000000000000001
0.19399999999999998,55200.0,4.591,17.6,-7.767,0.009000000000000001
0.22899999999999998,59900.0,4.591,17.6,-7.767,0.009000000000000001
0.25,50300.0,4.647,17.0,-5.22,-0.006
0.16899999999999998,45600.0,4.647,17.0,-5.22,-0.006
0.201,55700.0,4.647,17.0,-5.22,-0.006
0.215,57400.0,4.647,17.0,-5.22,-0.006
0.203,52900.0,4.647,17.0,-5.22,-0.006
0.221,56800.0,5.14,16.5,-7.678999999999999,-0.006
0.183,66700.0,5.14,16.5,-7.678999999999999,-0.006
0.158,86300.0,5.14,16.5,-7.678999999999999,-0.006
0.177,76000.0,5.14,16.5,-7.678999999999999,-0.006
0.17800000000000002,60300.0,5.14,16.5,-7.678999999999999,-0.006
0.25,41000.0,5.113,19.3,-13.642999999999999,0.0
0.221,62100.0,5.113,19.3,-13.642999999999999,0.0
0.239,36700.0,5.113,19.3,-13.642999999999999,0.0
0.24100000000000002,49700.0,5.365,17.4,-9.339,0.025
,,5.365,17.4,-9.339,0.025
0.172,64700.0,5.365,17.4,-9.339,0.025
0.252,45900.0,5.365,17.4,-9.339,0.025
0.20600000000000002,65000.0,5.365,17.4,-9.339,0.025
0.22699999999999998,39100.0,5.365,17.4,-9.339,0.025
,,,12.2,,
,,,16.7,,
0.12,108000.0,8.706,20.0,-5.599,0.044000000000000004
0.11900000000000001,82400.0,8.706,20.0,-5.599,0.044000000000000004
0.11900000000000001,82800.0,8.706,20.0,-5.599,0.044000000000000004
0.19899999999999998,61100.0,,14.2,-32.785,0.07200000000000001
,,,14.2,-32.785,0.07200000000000001
,,11.36,20.7,,
,,8.849,18.2,-3.7539999999999996,0.051
0.129,91800.0,8.849,18.2,-3.7539999999999996,0.051
0.129,64100.0,8.849,18.2,-3.7539999999999996,0.051
0.196,57800.0,8.849,18.2,-3.7539999999999996,0.051
,,,14.1,-28.735,0.109
,,,14.1,-28.735,0.109
,,9.217,27.7,-4.643,0.036000000000000004
0.1,102600.0,9.217,27.7,-4.643,0.036000000000000004
,,9.217,27.7,-4.643,0.036000000000000004
,,9.217,27.7,-4.643,0.036000000000000004
0.142,93200.0,8.46,18.5,-6.395,0.042
0.142,64000.0,8.46,18.5,-6.395,0.042
0.10400000000000001,89100.0,8.42,20.3,-1.7409999999999999,0.006999999999999999
0.23600000000000002,67800.0,,14.2,-30.813000000000002,0.017
0.228,109400.0,,14.8,-25.019000000000002,0.098
0.255,60500.0,,17.9,-25.289,0.095
0.095,85300.0,8.366,17.1,5.428,0.004
0.09699999999999999,76900.0,8.366,17.1,5.428,0.004
0.106,88400.0,10.052999999999999,16.5,-0.43799999999999994,-0.004
0.201,43600.0,6.187,17.6,-19.598,0.025
0.201,54500.0,6.187,17.6,-19.598,0.025
0.213,39200.0,6.187,17.6,-19.598,0.025
0.183,56800.0,5.806,19.5,-10.137,
0.172,75400.0,5.806,19.5,-10.137,
0.193,55500.0,5.806,19.5,-10.137,
0.162,67700.0,5.513999999999999,18.9,-4.78,
0.18,64400.0,5.513999999999999,18.9,-4.78,
0.12300000000000001,137600.0,5.513999999999999,18.9,-4.78,
0.23800000000000002,55300.0,5.546,20.3,-10.107000000000001,
0.165,97600.0,5.546,20.3,-10.107000000000001,
0.273,53800.0,5.546,20.3,-10.107000000000001,
0.231,59000.0,4.606,21.8,-7.1129999999999995,
0.22899999999999998,66600.0,4.606,21.8,-7.1129999999999995,
0.22,50000.0,5.532,24.8,-17.336,
0.14,84000.0,5.532,24.8,-17.336,
0.094,112300.0,5.532,24.8,-17.336,
0.155,71500.0,5.532,24.8,-17.336,
0.16,69500.0,5.532,24.8,-17.336,
0.107,104700.0,5.532,24.8,-17.336,
0.195,56000.0,5.343999999999999,21.1,-16.715999999999998,
0.177,92200.0,5.343999999999999,21.1,-16.715999999999998,
,,5.343999999999999,21.1,-16.715999999999998,
,,5.343999999999999,21.1,-16.715999999999998,
0.196,63500.0,5.343999999999999,21.1,-16.715999999999998,
0.223,54600.0,5.565,22.8,-19.096,
0.19399999999999998,50600.0,5.565,22.8,-19.096,
0.23,55200.0,4.673,15.9,-12.254000000000001,0.013000000000000001
0.22899999999999998,37200.0,4.673,15.9,-12.254000000000001,0.013000000000000001
0.209,48700.0,4.673,15.9,-12.254000000000001,0.013000000000000001
0.23,58100.0,4.643,17.4,-11.593,0.009000000000000001
0.16,60500.0,4.895,17.2,5.827999999999999,-0.006999999999999999
0.161,44200.0,4.895,17.2,5.827999999999999,-0.006999999999999999
0.183,37200.0,4.895,17.2,5.827999999999999,-0.006999999999999999
0.18600000000000003,99000.0,5.063,18.3,1.5330000000000001,0.013999999999999999
0.198,43700.0,5.063,18.3,1.5330000000000001,0.013999999999999999
0.16899999999999998,70500.0,5.063,18.3,1.5330000000000001,0.013999999999999999
0.251,42700.0,5.063,18.3,1.5330000000000001,0.013999999999999999
0.249,43400.0,5.063,18.3,1.5330000000000001,0.013999999999999999
0.187,58800.0,4.871,17.2,5.502999999999999,0.002
0.2,49300.0,4.871,17.2,5.502999999999999,0.002
0.22399999999999998,36900.0,4.871,17.2,5.502999999999999,0.002
0.125,34100.0,4.871,17.2,5.502999999999999,0.002
0.235,49500.0,5.002,18.0,-15.882,0.009000000000000001
0.267,38800.0,5.002,18.0,-15.882,0.009000000000000001
0.201,54200.0,5.002,18.0,-15.882,0.009000000000000001
0.263,46300.0,5.002,18.0,-15.882,0.009000000000000001
0.212,52600.0,5.002,18.0,-15.882,0.009000000000000001
0.261,52900.0,5.002,18.0,-15.882,0.009000000000000001
0.293,40900.0,5.002,18.0,-15.882,0.009000000000000001
,,4.725,16.6,-9.728,0.005
0.245,46600.0,4.725,16.6,-9.728,0.005
0.221,47500.0,4.725,16.6,-9.728,0.005
0.225,60700.0,4.725,16.6,-9.728,0.005
0.22699999999999998,55300.0,4.738,17.1,-1.7469999999999999,0.002
0.191,67900.0,4.738,17.1,-1.7469999999999999,0.002
0.243,46300.0,4.738,17.1,-1.7469999999999999,0.002
0.21100000000000002,50200.0,4.738,17.1,-1.7469999999999999,0.002
0.267,46800.0,4.738,17.1,-1.7469999999999999,0.002
,,4.738,17.1,-1.7469999999999999,0.002
0.251,45700.0,4.738,17.1,-1.7469999999999999,0.002
0.203,50800.0,4.738,17.1,-1.7469999999999999,0.002
0.261,49700.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.188,69900.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.20800000000000002,57100.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.196,45200.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.23199999999999998,44900.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.177,47900.0,4.696000000000001,17.1,0.32899999999999996,0.003
0.17800000000000002,50600.0,4.875,17.1,6.815,0.021
0.203,41100.0,4.875,17.1,6.815,0.021
0.252,41900.0,4.875,17.1,6.815,0.021
0.204,56600.0,4.7589999999999995,16.6,-11.370999999999999,0.0
0.303,37000.0,4.7589999999999995,16.6,-11.370999999999999,0.0
0.198,53100.0,5.365,17.4,-9.092,0.006999999999999999
0.17600000000000002,75100.0,5.365,17.4,-9.092,0.006999999999999999
0.191,66800.0,5.365,17.4,-9.092,0.006999999999999999
0.19,65400.0,5.365,17.4,-9.092,0.006999999999999999
0.183,48200.0,5.365,17.4,-9.092,0.006999999999999999
0.198,78100.0,5.365,17.4,-9.092,0.006999999999999999
0.163,74800.0,5.365,17.4,-9.092,0.006999999999999999
0.228,53900.0,4.869,16.5,-2.1790000000000003,0.004
0.257,43500.0,4.869,16.5,-2.1790000000000003,0.004
0.188,73800.0,4.869,16.5,-2.1790000000000003,0.004
0.276,42200.0,4.869,16.5,-2.1790000000000003,0.004
0.265,44100.0,4.869,16.5,-2.1790000000000003,0.004
0.252,44800.0,4.869,16.5,-2.1790000000000003,0.004
0.23600000000000002,50200.0,4.869,16.5,-2.1790000000000003,0.004
0.249,44800.0,4.869,16.5,-2.1790000000000003,0.004
0.287,48100.0,4.632,17.2,-14.367,0.024
0.262,48400.0,4.632,17.2,-14.367,0.024
0.322,34500.0,4.632,17.2,-14.367,0.024
0.29,35500.0,4.632,17.2,-14.367,0.024
0.284,38800.0,4.632,17.2,-14.367,0.024
0.195,54300.0,4.529,17.3,4.9510000000000005,0.011000000000000001
0.244,50600.0,4.529,17.3,4.9510000000000005,0.011000000000000001
0.233,47600.0,4.529,17.3,4.9510000000000005,0.011000000000000001
0.18600000000000003,68400.0,4.529,17.3,4.9510000000000005,0.011000000000000001
0.251,51100.0,4.529,17.3,4.9510000000000005,0.011000000000000001
0.188,42100.0,4.706,15.2,2.7569999999999997,-0.013999999999999999
0.204,50500.0,4.706,15.2,2.7569999999999997,-0.013999999999999999
0.183,35600.0,4.706,15.2,2.7569999999999997,-0.013999999999999999
0.225,33100.0,4.706,15.2,2.7569999999999997,-0.013999999999999999
0.22,42500.0,4.706,15.2,2.7569999999999997,-0.013999999999999999
0.203,57700.0,4.942,15.9,5.831,0.001
0.2,42700.0,4.942,15.9,5.831,0.001
0.2,42500.0,4.942,15.9,5.831,0.001
0.239,48900.0,4.533,17.1,3.54,0.006999999999999999
0.213,55300.0,4.533,17.1,3.54,0.006999999999999999
0.26899999999999996,50000.0,4.533,17.1,3.54,0.006999999999999999
0.24100000000000002,51000.0,5.48,14.2,4.345,-0.003
0.252,53600.0,5.48,14.2,4.345,-0.003
0.22,65500.0,5.48,14.2,4.345,-0.003
0.28300000000000003,57900.0,5.48,14.2,4.345,-0.003
0.223,53300.0,5.48,14.2,4.345,-0.003
0.213,56300.0,5.48,14.2,4.345,-0.003
0.231,48800.0,5.48,14.2,4.345,-0.003
0.245,61900.0,5.48,14.2,4.345,-0.003
0.297,46300.0,4.637,15.9,-12.888,0.028999999999999998
0.244,46300.0,4.637,15.9,-12.888,0.028999999999999998
0.318,40700.0,4.637,15.9,-12.888,0.028999999999999998
0.26,42300.0,4.887,15.6,-1.466,0.0
0.212,46600.0,4.887,15.6,-1.466,0.0
0.253,40800.0,4.887,15.6,-1.466,0.0
0.257,43500.0,4.887,15.6,-1.466,0.0
0.23199999999999998,38200.0,4.887,15.6,-1.466,0.0
0.1,113800.0,5.917000000000001,22.9,-17.250999999999998,
0.084,141600.0,5.917000000000001,22.9,-17.250999999999998,
0.028999999999999998,246100.0,5.917000000000001,22.9,-17.250999999999998,
0.08,113700.0,5.917000000000001,22.9,-17.250999999999998,
0.075,137200.0,5.917000000000001,22.9,-17.250999999999998,
0.071,181100.0,5.917000000000001,22.9,-17.250999999999998,
0.11900000000000001,84700.0,5.917000000000001,22.9,-17.250999999999998,
,,5.495,23.3,-11.615,-0.02
0.105,76400.0,5.495,23.3,-11.615,-0.02
0.092,66400.0,5.495,23.3,-11.615,-0.02
0.083,99400.0,5.495,23.3,-11.615,-0.02
0.08199999999999999,78700.0,5.495,23.3,-11.615,-0.02
0.073,113500.0,5.495,23.3,-11.615,-0.02
0.125,81500.0,5.495,23.3,-11.615,-0.02
0.151,74900.0,5.495,23.3,-11.615,-0.02
0.107,84500.0,5.495,23.3,-11.615,-0.02
0.10800000000000001,97000.0,5.495,23.3,-11.615,-0.02
0.10800000000000001,69600.0,5.606,22.7,-14.579,
0.192,57600.0,5.606,22.7,-14.579,
0.142,57100.0,5.606,22.7,-14.579,
0.132,61600.0,5.606,22.7,-14.579,
0.16399999999999998,50100.0,5.606,22.7,-14.579,
0.158,58000.0,5.377000000000001,20.4,-9.264,0.002
0.14,59600.0,5.377000000000001,20.4,-9.264,0.002
0.192,64600.0,5.555,23.2,-18.836,
0.209,58100.0,5.555,23.2,-18.836,
0.193,60000.0,5.555,23.2,-18.836,
0.20800000000000002,55300.0,5.555,23.2,-18.836,
0.10800000000000001,66800.0,6.499,20.5,-7.355,
0.126,49300.0,6.499,20.5,-7.355,
0.122,71900.0,7.223,21.0,-14.085999999999999,
0.083,72100.0,7.223,21.0,-14.085999999999999,
0.19399999999999998,68400.0,5.756,23.6,-21.294,
0.14300000000000002,57900.0,7.597,21.3,-14.668,
0.13,64900.0,7.597,21.3,-14.668,
0.079,105100.0,7.597,21.3,-14.668,
0.151,68100.0,6.149,20.1,-8.53,-0.008
0.086,56200.0,6.149,20.1,-8.53,-0.008
0.126,54900.0,6.149,20.1,-8.53,-0.008
0.165,62900.0,6.149,20.1,-8.53,-0.008
0.096,62300.0,5.837999999999999,23.5,-18.956,
0.18,56100.0,5.837999999999999,23.5,-18.956,
0.139,72500.0,5.837999999999999,23.5,-18.956,
0.107,66700.0,5.837999999999999,23.5,-18.956,
0.158,78100.0,5.952000000000001,24.0,-20.475,
0.14400000000000002,81100.0,5.952000000000001,24.0,-20.475,
0.09,173300.0,5.952000000000001,24.0,-20.475,
0.111,102400.0,5.952000000000001,24.0,-20.475,
0.094,71300.0,5.694,22.0,-2.7969999999999997,
,,5.694,22.0,-2.7969999999999997,
0.111,92400.0,5.406000000000001,23.5,-10.538,
0.09300000000000001,84700.0,5.718,22.3,-10.878,
0.121,97500.0,5.718,22.3,-10.878,
0.134,68200.0,5.688,22.4,-9.693999999999999,
0.18600000000000003,50300.0,5.688,22.4,-9.693999999999999,
0.195,71100.0,6.045,20.3,-5.737,
0.098,151700.0,6.045,20.3,-5.737,
0.085,136300.0,6.045,20.3,-5.737,
,,6.045,20.3,-5.737,
0.217,85500.0,6.045,20.3,-5.737,
0.05,161100.0,6.045,20.3,-5.737,
0.102,90400.0,6.045,20.3,-5.737,
,,6.045,20.3,-5.737,
0.09,116800.0,6.045,20.3,-5.737,
0.096,74600.0,6.045,20.3,-5.737,
0.18899999999999997,55600.0,5.952000000000001,15.9,-4.938,
0.225,43900.0,5.952000000000001,15.9,-4.938,
,,5.952000000000001,15.9,-4.938,
,,5.952000000000001,15.9,-4.938,
0.237,59200.0,5.952000000000001,15.9,-4.938,
0.26,42800.0,5.952000000000001,15.9,-4.938,
0.142,60100.0,5.098,17.3,-8.531,0.005
0.102,79300.0,5.098,17.3,-8.531,0.005
,,5.098,17.3,-8.531,0.005
0.2,61600.0,5.098,17.3,-8.531,0.005
,,7.474,10.8,,
,,5.7,18.3,0.741,
,,5.7,18.3,0.741,
0.23199999999999998,52700.0,5.7,18.3,0.741,
0.251,51100.0,5.7,18.3,0.741,
0.22,67100.0,5.7,18.3,0.741,
0.129,65800.0,5.695,15.5,6.261,
,,6.836,13.2,8.654,
,,6.836,13.2,8.654,
0.128,59400.0,6.836,13.2,8.654,
,,5.477,18.7,6.149,
0.14300000000000002,89200.0,5.477,18.7,6.149,
0.192,62100.0,5.477,18.7,6.149,
0.136,85800.0,5.477,18.7,6.149,
0.179,56200.0,5.357,18.4,1.926,
0.162,76000.0,5.357,18.4,1.926,
0.166,62700.0,5.357,18.4,1.926,
,,5.357,18.4,1.926,
,,5.357,18.4,1.926,
,,6.648,16.7,-7.301,-0.013000000000000001
0.149,59400.0,6.648,16.7,-7.301,-0.013000000000000001
0.149,60200.0,6.648,16.7,-7.301,-0.013000000000000001
0.12,158200.0,11.905999999999999,16.7,-9.601,
0.132,84800.0,11.905999999999999,16.7,-9.601,
0.22399999999999998,62800.0,11.905999999999999,16.7,-9.601,
0.025,478400.0,11.905999999999999,16.7,-9.601,
0.045,122000.0,11.905999999999999,16.7,-9.601,
0.095,77100.0,6.111000000000001,14.9,10.263,
0.099,91500.0,7.487,14.4,5.732,
,,7.487,14.4,5.732,
0.24600000000000002,47200.0,6.233,15.9,-3.549,
0.21899999999999997,45500.0,6.233,15.9,-3.549,
,,6.2620000000000005,14.5,9.725,0.027000000000000003
0.095,92500.0,6.2620000000000005,14.5,9.725,0.027000000000000003
0.098,99800.0,5.457999999999999,18.9,0.13,
0.209,57000.0,5.457999999999999,18.9,0.13,
0.195,75900.0,5.457999999999999,18.9,0.13,
,,5.837999999999999,16.9,,
0.18899999999999997,69400.0,6.612,14.7,5.504,
,,6.612,14.7,5.504,
,,6.612,14.7,5.504,
0.11599999999999999,58800.0,6.612,14.7,5.504,
0.151,72000.0,5.607,17.6,8.282,
0.129,81600.0,5.607,17.6,8.282,
0.066,101800.0,5.607,17.6,8.282,
,,8.616,12.8,10.627,-0.02
,,8.616,12.8,10.627,-0.02
0.11699999999999999,69600.0,8.616,12.8,10.627,-0.02
,,8.616,12.8,10.627,-0.02
0.08,230700.0,8.888,14.9,-4.993,
0.109,115000.0,8.888,14.9,-4.993,
0.059000000000000004,106400.0,8.888,14.9,-4.993,
0.065,109700.0,8.888,14.9,-4.993,
0.10300000000000001,97100.0,8.888,14.9,-4.993,
0.106,96100.0,8.888,14.9,-4.993,
0.057999999999999996,107800.0,8.888,14.9,-4.993,
0.113,77200.0,8.888,14.9,-4.993,
0.177,67100.0,6.835,16.7,5.869,0.001
0.196,63100.0,6.835,16.7,5.869,0.001
0.20800000000000002,47900.0,6.835,16.7,5.869,0.001
0.193,72400.0,6.835,16.7,5.869,0.001
0.16899999999999998,62200.0,6.835,16.7,5.869,0.001
0.145,104100.0,7.584,17.7,-3.338,0.006
0.138,76400.0,7.584,17.7,-3.338,0.006
0.20800000000000002,92700.0,7.694,18.9,-6.882000000000001,-0.002
0.12,106700.0,7.694,18.9,-6.882000000000001,-0.002
0.13699999999999998,90400.0,7.694,18.9,-6.882000000000001,-0.002
0.095,102900.0,7.694,18.9,-6.882000000000001,-0.002
0.06,175400.0,7.694,18.9,-6.882000000000001,-0.002
0.158,76200.0,7.694,18.9,-6.882000000000001,-0.002
0.155,80100.0,7.694,18.9,-6.882000000000001,-0.002
0.087,134200.0,7.694,18.9,-6.882000000000001,-0.002
0.052000000000000005,164700.0,7.694,18.9,-6.882000000000001,-0.002
0.099,111300.0,7.694,18.9,-6.882000000000001,-0.002
0.065,145100.0,7.694,18.9,-6.882000000000001,-0.002
0.11599999999999999,101100.0,7.694,18.9,-6.882000000000001,-0.002
0.10800000000000001,82900.0,7.694,18.9,-6.882000000000001,-0.002
0.155,71300.0,7.694,18.9,-6.882000000000001,-0.002
0.13,125600.0,7.694,18.9,-6.882000000000001,-0.002
0.046,142100.0,7.694,18.9,-6.882000000000001,-0.002
0.044000000000000004,162600.0,7.694,18.9,-6.882000000000001,-0.002
0.136,96400.0,7.694,18.9,-6.882000000000001,-0.002
0.111,112400.0,7.694,18.9,-6.882000000000001,-0.002
0.147,70000.0,5.897,18.2,-1.607,0.016
0.263,46100.0,5.897,18.2,-1.607,0.016
0.273,35200.0,5.897,18.2,-1.607,0.016
0.226,41600.0,5.897,18.2,-1.607,0.016
0.212,39100.0,5.897,18.2,-1.607,0.016
0.203,44000.0,5.897,18.2,-1.607,0.016
0.29100000000000004,53000.0,5.353,19.9,-0.763,0.032
0.139,69800.0,5.353,19.9,-0.763,0.032
0.19699999999999998,68900.0,5.353,19.9,-0.763,0.032
0.17800000000000002,66000.0,5.353,19.9,-0.763,0.032
0.13699999999999998,92000.0,5.353,19.9,-0.763,0.032
0.179,64300.0,5.353,19.9,-0.763,0.032
0.226,56100.0,5.353,19.9,-0.763,0.032
0.177,57400.0,5.882000000000001,18.4,4.031000000000001,-0.024
0.261,40500.0,5.882000000000001,18.4,4.031000000000001,-0.024
0.221,45800.0,5.882000000000001,18.4,4.031000000000001,-0.024
0.13699999999999998,67400.0,5.627999999999999,18.0,9.036,-0.015
0.151,89700.0,5.627999999999999,18.0,9.036,-0.015
0.126,86000.0,6.895,21.3,-6.999,0.006
0.14400000000000002,72200.0,6.895,21.3,-6.999,0.006
0.121,78400.0,6.895,21.3,-6.999,0.006
0.225,44800.0,6.107,17.7,2.693,-0.008
0.26899999999999996,36900.0,6.107,17.7,2.693,-0.008
0.2,40000.0,6.107,17.7,2.693,-0.008
0.20800000000000002,46700.0,6.107,17.7,2.693,-0.008
0.205,44200.0,6.107,17.7,2.693,-0.008
0.132,78000.0,6.107,17.7,2.693,-0.008
,,6.107,17.7,2.693,-0.008
0.185,47600.0,6.107,17.7,2.693,-0.008
0.218,41100.0,6.107,17.7,2.693,-0.008
0.147,67000.0,6.457000000000001,18.9,-1.082,0.004
0.273,45100.0,6.457000000000001,18.9,-1.082,0.004
0.183,74200.0,6.457000000000001,18.9,-1.082,0.004
0.11900000000000001,94100.0,6.457000000000001,18.9,-1.082,0.004
0.157,51200.0,5.343999999999999,17.6,1.125,-0.003
0.20600000000000002,53300.0,5.343999999999999,17.6,1.125,-0.003
0.16699999999999998,91000.0,6.896,18.6,-4.293,0.023
0.172,76400.0,6.896,18.6,-4.293,0.023
0.228,51300.0,5.5920000000000005,18.8,-5.551,-0.009000000000000001
0.267,40000.0,5.5920000000000005,18.8,-5.551,-0.009000000000000001
,,5.5920000000000005,18.8,-5.551,-0.009000000000000001
0.222,40800.0,5.5920000000000005,18.8,-5.551,-0.009000000000000001
0.21,43800.0,5.5920000000000005,18.8,-5.551,-0.009000000000000001
0.233,54000.0,5.5920000000000005,18.8,-5.551,-0.009000000000000001
0.196,58700.0,5.409,19.2,5.39,-0.01
0.15,68800.0,5.409,19.2,5.39,-0.01
0.153,66000.0,5.409,19.2,5.39,-0.01
0.212,44100.0,5.409,19.2,5.39,-0.01
0.155,54500.0,5.831,17.6,0.434,-0.025
0.245,45100.0,5.831,17.6,0.434,-0.025
0.152,57900.0,5.831,17.6,0.434,-0.025
,,6.852,19.4,-5.311,-0.008
0.251,50900.0,6.852,19.4,-5.311,-0.008
0.122,111400.0,6.852,19.4,-5.311,-0.008
0.268,50900.0,6.852,19.4,-5.311,-0.008
0.132,101400.0,6.852,19.4,-5.311,-0.008
0.187,57300.0,6.852,19.4,-5.311,-0.008
0.287,47200.0,5.569,18.4,-7.087999999999999,0.025
0.217,52800.0,5.569,18.4,-7.087999999999999,0.025
0.225,57500.0,5.569,18.4,-7.087999999999999,0.025
0.14400000000000002,52500.0,6.228,18.3,-2.5140000000000002,-0.001
0.174,73300.0,6.228,18.3,-2.5140000000000002,-0.001
0.16,52700.0,6.228,18.3,-2.5140000000000002,-0.001
0.149,74200.0,6.228,18.3,-2.5140000000000002,-0.001
0.18899999999999997,60800.0,5.695,19.9,-2.66,0.004
0.171,67200.0,5.695,19.9,-2.66,0.004
0.16399999999999998,51200.0,5.695,19.9,-2.66,0.004
0.113,87200.0,5.695,19.9,-2.66,0.004
0.237,42600.0,5.695,19.9,-2.66,0.004
0.265,51200.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.205,49500.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.309,50600.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.285,38400.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.222,40000.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.23,57700.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.264,41400.0,5.256,16.3,-1.6669999999999998,0.027000000000000003
,,5.256,16.3,-1.6669999999999998,0.027000000000000003
0.311,38500.0,5.888999999999999,16.0,-2.0980000000000003,0.047
0.271,50900.0,5.888999999999999,16.0,-2.0980000000000003,0.047
0.281,47100.0,5.888999999999999,16.0,-2.0980000000000003,0.047
0.262,54000.0,5.888999999999999,16.0,-2.0980000000000003,0.047
0.237,49300.0,5.888999999999999,16.0,-2.0980000000000003,0.047
