School Expenditure per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
6.352,18.1,-7.863,0.026,95900,0.115
6.352,18.1,-7.863,0.026,80900,0.153
6.352,18.1,-7.863,0.026,52500,0.253
6.352,18.1,-7.863,0.026,62200,0.214
6.352,18.1,-7.863,0.026,52600,0.224
6.352,18.1,-7.863,0.026,73900,0.187
6.352,18.1,-7.863,0.026,64100,0.196
6.352,18.1,-7.863,0.026,70900,0.178
6.352,18.1,-7.863,0.026,63700,0.223
5.945,15.5,-4.966,0.068,45100,0.254
5.945,15.5,-4.966,0.068,43000,0.264
5.945,15.5,-4.966,0.068,46500,0.235
5.148,15.5,0.165,0.029,46500,0.217
5.148,15.5,0.165,0.029,56800,0.228
5.148,15.5,0.165,0.029,51300,0.216
5.148,15.5,0.165,0.029,56500,0.202
5.188,17,-3.211,0.022,42900,0.246
5.188,17,-3.211,0.022,52200,0.224
5.188,17,-3.211,0.022,45800,0.251
5.188,17,-3.211,0.022,53600,0.246
5.193,17,-3.837,0.021,48700,0.208
5.193,17,-3.837,0.021,50100,0.21
5.375,16.3,-5.13,0.018,45600,0.215
5.375,16.3,-5.13,0.018,58900,0.225
5.394,16.5,-5.032,0.037,43600,0.232
5.394,16.5,-5.032,0.037,52000,0.196
5.394,16.5,-5.032,0.037,48400,0.185
6.142,16.5,-2.796,0.031,40400,0.263
6.142,16.5,-2.796,0.031,58900,0.197
6.142,16.5,-2.796,0.031,51400,0.217
5.941,17,-10.217,0.073,39600,0.261
5.941,17,-10.217,0.073,54500,0.22
5.199,15.8,4.11,0.034,59300,0.189
5.199,15.8,4.11,0.034,72000,0.155
5.167,15.7,1.551,0.017,56100,0.154
5.167,15.7,1.551,0.017,173500,0.183
5.167,15.7,1.551,0.017,57700,0.133
6.563,18.4,-14.799,0.018,84300,0.114
5.057,19.5,-0.77,0.035,101500,0.116
5.057,19.5,-0.77,0.035,65300,0.203
5.057,19.5,-0.77,0.035,59700,0.175
5.057,19.5,-0.77,0.035,57500,0.131
5.057,19.5,-0.77,0.035,47800,0.249
7.824,16.5,10.852,0,73200,0.128
4.484,19.7,3.003,-0.003,74300,0.14
4.484,19.7,3.003,-0.003,66000,0.158
4.484,19.7,3.003,-0.003,87800,0.13
4.484,19.7,3.003,-0.003,54000,0.165
4.484,19.7,3.003,-0.003,64300,0.131
4.484,19.7,3.003,-0.003,76000,0.102
4.484,19.7,3.003,-0.003,65500,0.148
4.584,18.2,5.784,-0.02,61100,0.11
4.584,18.2,5.784,-0.02,71300,0.13
5.843,20.9,6.227,0.022,54700,0.168
5.843,20.9,6.227,0.022,61800,0.136
5.843,20.9,6.227,0.022,71800,0.143
5.843,20.9,6.227,0.022,48700,0.179
5.843,20.9,6.227,0.022,62800,0.12
5.843,20.9,6.227,0.022,52100,0.148
5.843,20.9,6.227,0.022,82000,0.114
5.491,18.6,1.241,0.011,122400,0.085
5.491,18.6,1.241,0.011,57300,0.189
5.491,18.6,1.241,0.011,62000,0.194
5.491,18.6,1.241,0.011,67500,0.178
4.668,19.5,4.734,0.031,52100,0.143
4.1,19.6,-4.158,0.003,68600,0.174
4.1,19.6,-4.158,0.003,56500,0.204
5.639,17.9,4.83,0.017,57600,0.16
5.639,17.9,4.83,0.017,52200,0.14
5.639,17.9,4.83,0.017,50400,0.154
5.639,17.9,4.83,0.017,75100,0.155
5.639,17.9,4.83,0.017,67900,0.159
4.926,17.7,8.031,0.014,52600,0.161
4.231,21,6.228,-0.003,62000,0.122
4.231,21,6.228,-0.003,78000,0.131
4.231,21,6.228,-0.003,88500,0.088
5.991,18,-0.764,-0.004,56100,0.192
5.991,18,-0.764,-0.004,51700,0.158
5.991,18,-0.764,-0.004,59600,0.179
5.08,18.2,2.451,-0.001,74900,0.131
5.08,18.2,2.451,-0.001,57000,0.166
5.08,18.2,2.451,-0.001,57300,0.16
5.08,18.2,2.451,-0.001,69600,0.166
5.08,18.2,2.451,-0.001,59100,0.192
5.08,18.2,2.451,-0.001,62300,0.173
4.463,18.3,3.485,-0.004,41900,0.286
4.463,18.3,3.485,-0.004,54100,0.195
4.463,18.3,3.485,-0.004,70200,0.153
4.463,18.3,3.485,-0.004,57500,0.155
4.463,18.3,3.485,-0.004,58200,0.145
4.463,18.3,3.485,-0.004,46000,0.249
4.463,18.3,3.485,-0.004,71100,0.135
4.463,18.3,3.485,-0.004,61000,0.169
4.463,18.3,3.485,-0.004,66600,0.148
4.466,19.7,2.163,0.009,68500,0.126
4.466,19.7,2.163,0.009,69100,0.13
4.466,19.7,2.163,0.009,66100,0.139
4.466,19.7,2.163,0.009,86500,0.143
4.466,19.7,2.163,0.009,65800,0.183
5.363,18.1,-1.328,0.008,95200,0.124
5.363,18.1,-1.328,0.008,74100,0.118
5.363,18.1,-1.328,0.008,90600,0.107
5.363,18.1,-1.328,0.008,76300,0.125
5.363,18.1,-1.328,0.008,79900,0.125
5.363,18.1,-1.328,0.008,79600,0.155
5.363,18.1,-1.328,0.008,75600,0.164
5.363,18.1,-1.328,0.008,86900,0.159
4.401,18.1,2.465,0.007,61600,0.177
4.401,18.1,2.465,0.007,56000,0.135
4.401,18.1,2.465,0.007,75200,0.144
4.401,18.1,2.465,0.007,54400,0.138
4.831,16.7,4.328,0.011,71900,0.115
4.831,16.7,4.328,0.011,79500,0.14
4.831,16.7,4.328,0.011,71600,0.115
4.831,16.7,4.328,0.011,66200,0.153
4.831,16.7,4.328,0.011,94500,0.182
4.831,16.7,4.328,0.011,93300,0.103
4.831,16.7,4.328,0.011,87500,0.131
4.831,16.7,4.328,0.011,102800,0.079
4.526,17.8,2.445,0.011,92100,0.133
4.526,17.8,2.445,0.011,69800,0.135
4.526,17.8,2.445,0.011,63300,0.133
4.526,17.8,2.445,0.011,81100,0.197
4.526,17.8,2.445,0.011,74600,0.149
4.526,17.8,2.445,0.011,83900,0.126
4.526,17.8,2.445,0.011,64500,0.152
5.01,19,0.902,-0.015,67500,0.164
5.01,19,0.902,-0.015,68500,0.147
5.01,19,0.902,-0.015,81000,0.132
5.01,19,0.902,-0.015,101000,0.154
4.034,17.3,9.104,0.016,61300,0.131
4.034,17.3,9.104,0.016,74400,0.154
4.034,17.3,9.104,0.016,61500,0.122
4.034,17.3,9.104,0.016,62100,0.153
4.165,18.5,7.493,-0.015,54900,0.194
4.165,18.5,7.493,-0.015,65000,0.156
4.165,18.5,7.493,-0.015,86900,0.119
4.165,18.5,7.493,-0.015,57500,0.214
4.165,18.5,7.493,-0.015,61600,0.113
