id	absolute
24031	47.7
24033	40.2
24035	44.3
24037	44.3
24039	38.4
24041	39.8
24043	43.1
24045	38.6
24047	39.2
24510	33.8
25001	45
25003	42.5
25005	44.5
25007	43.4
25009	44
25011	43.8
25013	40.4
25015	45.4
25017	47.5
25019	
25021	49.7
25023	44.6
25025	39.8
25027	43.9
26001	42.8
26003	45.7
26005	43
26007	40
26009	40.5
26011	43.4
26013	43.4
26015	42.1
26017	41.2
26019	41.4
26021	38.5
26023	41.9
26025	36.9
26027	40.6
26029	41.6
26031	41.1
26033	41.3
26035	41.6
26037	45.7
26039	39.6
26041	45.2
26043	44.4
26045	42
26047	43.4
26049	35.4
26051	42.5
26053	47.6
26055	42.4
26057	42.4
26059	41.2
26061	47.2
26063	51.8
26065	37.5
26067	41.5
26069	41
26071	45.4
26073	41.6
26075	39
26077	37.5
26079	39.1
26081	38.6
26083	
26085	38.4
26087	43.6
26089	43.2
26091	41.5
26093	42.4
26095	
26097	44
26099	42.9
26101	43.4
26103	45.4
26105	41.4
26107	39.2
26109	48.4
26111	41.3
26113	44.2
26115	42.7
26117	41.4
26119	46.5
26121	36.9
26123	41.2
26125	40.9
26127	43.4
26129	41.5
26131	44.9
26133	43
26135	41.9
26137	44.9
26139	45.3
26141	46.7
26143	39.6
26145	37.5
26147	40
26149	40.6
26151	46
26153	43.5
26155	41.7
26157	43.2
26159	38.9
26161	38.9
26163	34.6
26165	42.2
27001	48.1
27003	46.1
27005	49.2
27007	40.3
27009	54.7
27011	58.9
27013	49.4
27015	56.8
27017	45.4
27019	52.5
27021	39.4
27023	52.5
27025	48.4
27027	48.1
27029	47.4
27031	
27033	54.5
27035	46
27037	46.9
27039	48.9
27041	52.9
27043	50.4
27045	55
27047	49.2
27049	51.6
27051	56.9
27053	41.2
27055	53.9
27057	46
27059	49.5
27061	48.7
27063	54.8
27065	48.3
27067	49.4
27069	56.6
27071	49
27073	56.4
27075	46.8
27077	
27079	53.5
27081	58.4
27083	53.9
27085	51.4
27087	44
27089	53.9
27091	52.5
27093	52.1
27095	46.7
27097	50.1
27099	49.1
27101	54.6
27103	49.9
27105	53.1
27107	51.3
27109	47
27111	50.5
27113	52.2
27115	46.5
27117	57.4
27119	51.5
27121	56.2
27123	41.9
27125	61.3
27127	56.6
27129	55.7
27131	47.4
27133	52.8
27135	54
27137	45.3
27139	49.8
27141	48
27143	55.5
27145	52.3
27147	48.2
27149	58.6
27151	54.1
27153	52.9
27155	
27157	53.2
27159	53.7
27161	50.9
27163	48.1
27165	49.7
27167	53
27169	50.9
27171	47.8
27173	53.7
28001	37.4
28003	37
28005	41.5
28007	40.2
28009	
28011	34.2
28013	39.3
28015	39.8
28017	36.5
28019	42.9
28021	33.4
28023	40.4
28025	34.5
28027	33
28029	36.3
28031	39.4
28033	39.8
28035	37.8
28037	41.1
28039	46.1
28041	42.2
28043	34.7
28045	40.1
28047	38.1
28049	34.3
28051	35.6
28053	32.3
28055	
28057	39.7
28059	38.5
28061	39.1
28063	34.2
28065	37.9
28067	39.8
28069	36.4
28071	37.5
28073	43.2
28075	36.2
28077	41.4
28079	40.8
28081	36
28083	33.7
28085	39.9
28087	35.3
28089	36.1
28091	41.8
28093	34.6
28095	38.5
28097	39.7
28099	37.1
28101	38.9
28103	36.7
28105	35.9
28107	33.6
28109	40.3
28111	43.6
28113	38
28115	40.8
28117	37.9
28119	32.7
28121	41.1
28123	36.6
28125	35.8
28127	40
28129	39.8
28131	42.2
28133	33.4
28135	34
28137	36.1
28139	40
28141	43.1
28143	31.8
28145	40.2
28147	39.1
28149	36.1
28151	33.2
28153	42.3
28155	40
28157	39.2
28159	36.2
28161	36.4
28163	36.1
29001	45.8
29003	46.2
29005	49.9
29007	43.9
29009	43.3
29011	44.9
29013	45.6
29015	44.5
29017	43.2
29019	39.9
29021	39.7
29023	39.6
29025	47
29027	41.5
29029	41.8
29031	41.4
29033	46.2
29035	46
29037	44.9
29039	42.3
29041	48.9
29043	44.2
29045	48
29047	43.6
29049	45.2
29051	43.9
29053	44.1
29055	42
29057	47.1
29059	42.6
29061	46.5
29063	48
29065	48.3
