commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
25402,0.077,6.148,15.8,2.752,-0.022,0.004,0.000,0.196,0.084
25500,0.172,4.316,20.2,4.951,0.009,0.005,,0.182,0.097
25601,0.218,4.463,18.3,3.485,-0.004,0.004,,0.218,0.104
25602,0.104,4.601,17.3,4.534,0.009,0.004,,0.199,0.111
25701,0.203,4.671,16.0,-3.501,0.017,0.005,0.001,0.225,0.101
25702,0.112,4.817,16.2,-4.995,0.011,0.004,0.002,0.214,0.119
25800,0.228,4.637,15.9,-12.888,0.029,0.004,0.002,0.306,0.111
25900,0.146,4.696,17.1,0.329,0.003,0.004,0.001,0.198,0.111
26001,0.104,6.615,17.0,10.027,-0.024,0.007,0.000,0.126,0.084
26002,0.098,6.838,17.7,7.505,0.004,0.005,0.001,0.218,0.104
26003,0.037,6.391,16.9,,,,0.001,0.190,0.103
26004,0.006,7.259,16.8,-0.029,0.009,0.006,0.001,0.194,0.103
26101,0.087,5.158,13.8,-2.659,0.006,0.005,0.001,0.189,0.110
26102,0.093,5.395,14.9,-2.981,0.002,0.006,0.002,0.188,0.101
26103,0.076,5.365,13.3,-0.060,-0.027,0.004,0.001,0.174,0.096
26104,0.030,5.709,13.5,1.442,0.018,0.005,0.002,0.194,0.099
26105,0.171,5.690,13.6,-3.398,-0.026,0.004,0.001,0.167,0.102
26106,0.031,6.671,13.2,4.502,-0.015,0.005,0.001,0.173,0.095
26107,0.047,5.052,14.7,5.694,0.002,0.005,0.001,0.168,0.078
26201,0.079,4.835,18.3,5.047,-0.017,0.006,0.000,0.167,0.081
26202,0.005,6.846,11.3,,,,0.000,0.091,0.048
26203,0.009,5.665,13.9,13.552,-0.043,0.005,0.000,0.086,0.040
26204,0.013,7.049,12.2,,,,0.000,0.089,0.048
26301,0.452,5.558,14.8,0.439,-0.006,0.006,0.000,0.210,0.081
26302,0.044,4.748,16.0,6.691,-0.041,0.007,0.000,0.133,0.056
26303,0.460,6.415,12.6,-16.988,0.048,0.005,0.000,0.332,0.097
26304,0.088,4.748,16.5,8.783,-0.027,0.006,0.000,0.156,0.079
26305,0.019,5.253,13.7,12.369,-0.029,0.007,0.000,0.139,0.061
26401,0.015,5.864,11.5,,,,0.000,0.111,0.074
26402,0.000,7.306,12.8,,,,0.002,0.109,0.072
26403,0.015,5.772,12.2,,,,0.000,0.082,0.065
26404,0.042,6.404,13.4,17.086,-0.036,0.007,0.000,0.120,0.056
26405,0.007,8.514,11.8,,,,0.001,0.150,0.085
26406,0.300,7.014,14.1,-10.316,0.038,0.005,0.000,0.261,0.106
26407,0.014,7.281,13.0,,,,0.001,0.095,0.068
26408,0.213,7.491,13.6,9.237,-0.028,0.006,0.001,0.165,0.074
26409,0.012,5.793,14.5,11.656,-0.026,0.007,0.001,0.143,0.085
26410,0.219,5.080,18.1,10.289,-0.027,0.006,0.000,0.154,0.072
26411,0.481,6.291,14.4,5.512,-0.019,0.006,0.001,0.181,0.081
26412,0.092,5.093,16.1,9.652,-0.034,0.006,0.000,0.187,0.090
26501,0.126,4.768,15.5,12.972,-0.022,0.007,0.000,0.151,0.063
26502,0.017,4.547,17.2,13.990,-0.024,0.006,0.000,0.139,0.068
26503,0.082,5.132,17.3,-0.600,-0.004,0.007,0.001,0.181,0.089
26504,0.028,4.920,17.4,14.260,-0.013,0.007,0.001,0.144,0.071
26601,0.070,6.052,15.6,11.685,-0.033,0.007,0.001,0.119,0.057
26602,0.263,5.094,13.9,4.794,-0.006,0.006,0.001,0.171,0.078
26603,0.234,6.853,12.3,-22.102,0.099,0.006,0.000,0.344,0.105
26604,0.141,5.090,15.5,19.040,-0.010,0.007,0.001,0.189,0.083
26605,0.049,5.042,15.4,7.676,-0.014,0.007,0.001,0.154,0.075
26701,0.317,7.145,16.5,4.087,0.006,0.006,0.001,0.211,0.087
26702,0.072,5.561,15.5,8.881,-0.026,0.007,0.000,0.124,0.067
26703,0.067,6.982,15.6,9.516,-0.032,0.006,0.000,0.164,0.077
26704,0.077,5.709,16.8,8.004,-0.017,0.006,0.001,0.181,0.074
26801,0.056,6.269,17.2,6.018,-0.014,0.006,0.001,0.171,0.080
26802,0.015,4.879,17.3,10.804,-0.031,0.007,0.000,0.100,0.070
26803,0.040,5.257,16.4,10.253,-0.034,0.007,0.000,0.156,0.081
26804,0.039,6.071,13.7,,,,0.000,0.086,0.047
26901,0.095,6.713,16.9,15.814,-0.003,0.007,0.001,0.136,0.072
26902,0.058,7.227,17.4,7.154,-0.019,0.006,0.001,0.145,0.079
27001,0.022,8.565,12.0,10.016,-0.033,0.006,0.000,0.097,0.060
27002,0.025,6.896,11.9,9.690,-0.034,0.006,0.000,0.109,0.065
27003,0.039,6.274,11.6,0.131,,0.007,0.000,0.137,0.076
27004,0.034,4.964,14.8,16.809,-0.019,0.007,0.001,0.122,0.071
27005,0.148,6.307,16.2,8.914,-0.017,0.007,0.001,0.138,0.068
27006,0.032,5.252,14.8,15.040,-0.030,0.007,0.001,0.151,0.077
27007,0.041,5.120,15.5,7.178,-0.010,0.007,0.000,0.165,0.091
27008,0.333,4.736,14.1,6.127,-0.027,0.007,0.001,0.140,0.055
27009,0.554,5.188,13.2,13.686,-0.019,0.007,0.001,0.242,0.081
27010,0.353,5.358,14.3,,,,0.000,0.111,0.063
27011,0.079,5.099,17.7,8.612,0.007,0.008,0.001,0.184,0.098
27012,0.000,6.693,14.2,,,,0.000,0.084,0.074
27101,0.181,7.863,16.5,5.464,-0.012,0.007,0.001,0.148,0.074
27102,0.089,6.325,16.3,11.332,-0.017,0.007,0.000,0.135,0.055
27201,0.047,6.003,14.9,10.514,-0.031,0.007,0.001,0.082,0.042
27202,0.193,6.848,15.9,8.616,-0.018,0.007,0.001,0.132,0.059
27301,0.021,6.271,14.6,9.503,-0.033,0.008,0.000,0.147,0.077
27302,0.052,7.665,15.3,9.026,-0.013,0.007,0.001,0.157,0.073
27401,0.217,6.030,13.6,4.720,-0.033,0.007,0.000,0.146,0.069
27402,0.109,6.203,14.2,4.168,-0.022,0.007,0.002,0.174,0.091
27501,0.175,6.405,15.9,1.707,-0.006,0.007,0.001,0.182,0.098
27502,0.068,6.490,13.4,4.511,-0.018,0.006,0.001,0.185,0.091
27503,0.015,6.166,14.5,9.915,-0.032,0.007,0.001,0.154,0.074
27504,0.178,6.048,14.1,6.525,-0.027,0.007,0.000,0.149,0.071
27601,0.080,4.695,16.8,0.755,0.012,0.007,0.001,0.216,0.111
27602,0.177,6.721,16.1,0.729,0.064,0.005,0.002,0.322,0.124
27603,0.441,5.023,12.8,11.090,-0.042,0.007,0.001,0.190,0.066
27604,0.000,4.161,15.4,,,,0.001,0.137,0.107
27605,0.102,5.546,13.9,-30.399,,0.005,0.000,0.391,0.138
27701,0.115,5.664,15.8,-1.080,0.006,0.006,0.001,0.203,0.097
27702,0.064,5.823,16.4,2.301,0.009,0.006,0.001,0.199,0.125
27703,0.025,6.934,12.6,8.823,-0.003,0.006,0.001,0.163,0.105
27704,0.486,6.731,13.9,-19.811,-0.006,0.005,0.001,0.318,0.095
27801,0.108,6.382,15.1,9.922,-0.022,0.007,0.000,0.153,0.071
27802,0.212,6.299,14.7,4.493,-0.012,0.007,0.000,0.131,0.062
27901,0.059,7.202,14.1,0.591,-0.015,0.008,0.000,0.160,0.078
27902,0.037,7.759,13.0,5.696,-0.030,0.008,0.001,0.115,0.068
27903,0.150,7.078,15.5,-1.948,0.003,0.008,0.002,0.172,0.089
28001,0.200,5.613,15.9,-0.747,0.003,0.007,0.002,0.186,0.088
28002,0.360,5.889,13.2,6.980,0.003,0.006,0.000,0.177,0.072
28101,0.094,6.915,15.1,-1.788,0.012,0.007,0.001,0.187,0.090
28102,0.062,6.737,13.8,6.023,-0.031,0.006,0.000,0.150,0.088
28201,0.111,5.934,14.3,2.605,-0.031,0.006,0.000,0.171,0.095
28202,0.262,6.173,16.6,-0.627,0.012,0.006,0.001,0.208,0.103
28301,0.066,6.612,14.7,5.504,,0.006,0.001,0.149,0.082
28302,0.038,8.616,12.8,10.627,-0.020,0.007,0.001,0.145,0.087
28303,0.000,8.744,11.2,,,,0.001,0.147,0.095
28304,0.031,6.509,12.2,6.610,-0.027,0.007,0.001,0.140,0.077
28305,0.010,6.951,12.6,9.913,-0.034,0.006,0.000,0.109,0.068
28306,0.038,6.038,14.6,5.513,-0.004,0.006,0.000,0.172,0.095
28401,0.084,5.477,18.7,6.149,,0.005,0.002,0.187,0.108
28402,0.059,5.838,16.9,,,,0.000,0.175,0.091
28501,0.001,7.474,10.8,,,,0.001,0.146,0.090
28502,0.089,5.700,18.3,0.741,,0.005,0.002,0.247,0.112
28503,0.065,6.233,15.9,-3.549,,0.005,0.003,0.242,0.120
28504,0.068,6.836,13.2,8.654,,0.007,0.001,0.121,0.082
28601,0.004,7.400,11.2,15.591,-0.035,0.007,0.000,0.113,0.077
28602,0.000,6.952,11.7,17.097,-0.024,0.007,0.001,0.170,0.081
28603,0.019,8.507,11.9,15.222,-0.030,0.007,0.001,0.114,0.060
28604,0.015,7.703,11.7,9.678,-0.025,0.007,0.001,0.117,0.065
28605,0.006,6.592,13.6,-2.205,-0.035,0.007,0.002,0.130,0.061
28606,0.006,7.904,12.6,,,,0.000,0.114,0.065
28607,0.008,7.169,12.6,10.092,,0.006,0.001,0.143,0.084
28608,0.068,7.265,15.2,10.943,-0.024,0.007,0.001,0.165,0.074
28609,0.308,7.039,14.4,7.094,-0.011,0.007,0.001,0.139,0.073
28701,0.032,5.695,15.5,6.261,,0.008,0.002,0.175,0.100
28702,0.064,11.906,16.7,-9.601,,0.007,0.001,0.142,0.108
28703,0.022,6.111,14.9,10.263,,0.007,0.001,0.139,0.101
28704,0.036,6.262,14.5,9.725,0.027,0.006,0.001,0.203,0.087
28800,0.123,5.458,18.9,0.130,,0.005,0.001,0.165,0.093
28900,0.203,6.045,20.3,-5.737,,0.005,0.002,0.191,0.115
29001,0.016,6.334,13.7,10.643,-0.027,0.007,0.001,0.159,0.080
29002,0.000,10.500,9.6,,,,0.001,0.144,0.080
29003,0.151,5.524,16.4,-4.287,-0.022,0.006,0.001,0.143,0.073
29004,0.096,6.736,14.1,9.964,-0.009,0.006,0.001,0.160,0.091
29005,0.082,6.078,14.6,9.217,-0.008,0.006,0.001,0.184,0.115
29006,0.039,6.468,13.1,17.463,-0.012,0.006,0.001,0.170,0.081
29007,0.026,7.610,12.0,8.363,-0.017,0.006,0.000,0.162,0.090
29008,0.010,8.285,10.9,10.459,-0.019,0.007,0.001,0.105,0.082
29101,0.021,7.398,12.2,9.956,-0.034,0.007,0.001,0.142,0.075
29102,0.008,7.740,11.7,10.549,,0.007,0.000,0.126,0.064
29103,0.014,7.754,12.3,14.946,-0.023,0.007,0.001,0.121,0.075
29104,0.070,5.878,15.7,6.971,-0.021,0.006,0.002,0.196,0.110
29201,0.115,6.534,14.3,15.663,-0.025,0.006,0.000,0.149,0.079
29202,0.011,7.199,12.2,20.071,-0.028,0.006,0.000,0.104,0.065
29203,0.139,6.102,15.6,14.006,-0.023,0.005,0.001,0.171,0.081
29204,0.128,6.660,16.4,4.064,-0.006,0.006,0.000,0.216,0.107
29301,0.216,6.149,17.4,-2.990,0.010,0.005,0.000,0.195,0.114
29302,0.073,7.414,15.3,14.538,-0.022,0.006,0.001,0.133,0.078
29303,0.050,6.473,14.9,4.974,-0.017,0.005,0.001,0.189,0.102
29401,0.039,6.182,14.9,5.142,-0.017,0.005,0.001,0.171,0.101
29402,0.147,8.784,14.9,1.357,-0.023,0.005,0.001,0.172,0.092
29403,0.099,5.039,16.3,1.513,-0.007,0.005,0.001,0.200,0.107
29501,0.089,6.836,16.0,6.203,0.000,0.005,0.001,0.178,0.136
29502,0.306,6.450,16.2,-0.787,0.004,0.006,0.002,0.221,0.113
29503,0.088,5.093,14.9,-0.567,-0.015,0.005,0.001,0.204,0.116
29504,0.104,4.665,15.0,-2.015,-0.007,0.005,0.001,0.203,0.116
29505,0.046,5.779,12.3,3.919,-0.020,0.005,0.002,0.146,0.077
29506,0.012,5.239,12.8,1.058,-0.004,0.005,0.001,0.161,0.088
29601,0.131,5.346,15.3,1.566,-0.004,0.005,0.001,0.209,0.102
29602,0.021,4.696,15.7,3.582,-0.013,0.006,0.002,0.181,0.106
29700,0.067,4.770,16.5,3.364,0.002,0.005,0.001,0.190,0.110
29800,0.053,5.398,15.3,-0.800,0.001,0.005,0.001,0.176,0.109
29901,0.101,4.965,16.8,1.806,0.006,0.005,0.001,0.202,0.111
29902,0.014,4.534,15.5,0.341,-0.007,0.005,0.001,0.176,0.109
30000,0.108,4.529,17.3,4.951,0.011,0.004,0.001,0.176,0.106
30100,0.129,4.869,16.5,-2.179,0.004,0.004,0.002,0.202,0.119
30200,0.113,5.189,15.3,-4.951,0.004,0.004,0.002,0.231,0.117
30300,0.151,5.063,18.3,1.533,0.014,0.004,0.001,0.168,0.103
30401,0.047,5.159,16.3,0.166,-0.009,0.005,0.001,0.186,0.089
30402,0.167,4.642,17.3,-5.513,0.016,0.004,0.002,0.214,0.119
30403,0.074,4.683,16.4,-4.907,-0.009,0.004,0.002,0.224,0.113
30501,0.049,5.339,14.2,-0.373,0.011,0.005,0.001,0.162,0.102
30502,0.079,5.108,15.2,0.799,-0.012,0.005,0.001,0.184,0.103
30601,0.169,5.510,16.6,-6.376,0.008,0.003,0.003,0.237,0.092
30602,0.133,4.472,17.7,-5.960,-0.025,0.005,0.003,0.224,0.111
30603,0.006,4.238,18.4,-18.629,0.037,0.005,0.002,0.242,0.146
30604,0.072,4.444,17.8,-16.654,-0.017,0.005,0.002,0.254,0.113
30605,0.069,6.778,13.1,,,,0.002,0.191,0.086
30701,0.073,4.614,18.1,-10.460,-0.009,0.004,0.002,0.234,0.109
30702,0.152,7.364,14.1,-9.720,-0.033,0.006,0.004,0.215,0.084
30801,0.071,5.976,17.0,-7.005,-0.017,0.005,0.001,0.185,0.084
30802,0.184,6.336,14.5,4.305,-0.007,0.005,0.002,0.230,0.098
30901,0.100,4.674,16.6,-7.413,-0.014,0.005,0.001,0.214,0.099
30902,0.038,6.744,13.0,3.218,-0.012,0.005,0.001,0.140,0.077
30903,0.223,5.090,15.8,2.695,-0.005,0.005,0.002,0.220,0.107
30904,0.103,6.538,13.7,3.792,-0.017,0.004,0.001,0.167,0.089
30905,0.040,9.345,10.5,8.860,-0.033,0.005,0.001,0.166,0.071
30906,0.071,6.922,10.7,8.631,-0.031,0.004,0.001,0.169,0.087
30907,0.000,8.484,10.0,,,,0.001,0.171,0.070
30908,0.068,5.729,14.1,5.612,-0.007,0.005,0.001,0.184,0.074
31001,0.103,6.504,16.5,-1.545,-0.004,0.006,0.002,0.160,0.079
31002,0.019,9.888,13.8,-3.071,-0.025,0.006,0.002,0.116,0.074
31003,0.035,6.577,13.5,15.348,-0.034,0.007,0.001,0.128,0.075
31004,0.160,5.555,15.5,-8.461,0.023,0.005,0.002,0.147,0.079
31005,0.059,6.590,12.5,4.529,-0.027,0.006,0.002,0.124,0.074
31006,0.043,6.397,14.7,0.488,-0.016,0.005,0.003,0.125,0.073
31007,0.082,5.242,14.2,2.879,-0.024,0.005,0.002,0.142,0.072
31101,0.120,5.525,15.4,2.359,0.006,0.004,0.001,0.201,0.092
31102,0.075,5.745,14.4,2.489,-0.018,0.005,0.002,0.172,0.069
31103,0.046,5.388,14.0,-1.242,-0.021,0.004,0.002,0.210,0.088
31201,0.171,5.891,15.6,-2.109,0.002,0.004,0.001,0.193,0.103
31202,0.066,5.983,14.1,10.297,-0.015,0.005,0.001,0.173,0.100
31301,0.222,5.845,15.8,1.064,0.003,0.004,0.001,0.232,0.109
31302,0.080,5.794,14.3,0.022,-0.014,0.003,0.001,0.236,0.098
31303,0.056,5.495,14.9,10.500,-0.005,0.005,0.001,0.185,0.100
31304,0.058,7.087,10.4,,,,0.000,0.178,0.091
31401,0.174,4.923,17.1,-1.318,0.013,0.004,0.002,0.204,0.105
31402,0.109,6.427,14.0,1.343,-0.011,0.004,0.001,0.184,0.074
31403,0.081,11.336,12.6,-3.859,0.010,0.005,0.001,0.172,0.067
31404,0.192,6.333,12.6,-0.945,-0.007,0.004,0.001,0.218,0.095
31501,0.033,6.533,14.0,-8.178,0.035,0.003,0.002,0.249,0.068
31502,0.084,6.349,14.0,-11.674,0.012,0.003,0.003,0.222,0.074
31503,0.065,6.223,16.6,-11.566,0.000,0.003,0.002,0.191,0.058
31600,0.147,6.028,15.9,-1.410,0.012,0.003,0.002,0.195,0.060
31700,0.191,5.918,15.7,-2.187,0.007,0.003,0.002,0.229,0.107
31800,0.160,6.227,15.2,1.182,-0.005,0.004,0.001,0.220,0.070
31900,0.091,5.650,16.7,10.619,-0.010,0.003,0.002,0.168,0.099
32000,0.281,5.791,17.0,-1.559,0.007,0.003,0.001,0.205,0.096
32100,0.295,5.695,15.4,-1.083,-0.003,0.003,0.002,0.246,0.109
32201,0.124,5.359,14.7,4.851,-0.010,0.003,0.001,0.224,0.085
32202,0.141,5.958,13.9,1.487,-0.010,0.003,0.003,0.228,0.088
32301,0.113,5.299,15.1,3.469,-0.006,0.004,0.001,0.218,0.104
32302,0.046,6.125,12.6,7.546,-0.024,0.004,0.001,0.178,0.077
32303,0.050,6.720,11.4,16.151,-0.035,0.005,0.001,0.195,0.112
32304,0.117,6.031,14.0,-2.206,0.006,0.004,0.002,0.182,0.076
32305,0.144,5.212,16.0,-4.028,-0.011,0.003,0.001,0.183,0.065
32306,0.093,5.251,17.2,1.012,-0.013,0.003,0.002,0.171,0.047
32401,0.103,6.082,14.1,0.588,-0.015,0.004,0.001,0.197,0.085
32402,0.084,7.216,12.5,13.841,-0.010,0.003,0.001,0.244,0.092
32403,0.066,7.856,12.8,0.891,-0.009,0.004,0.001,0.191,0.088
32501,0.123,5.929,13.6,11.000,-0.010,0.004,0.001,0.205,0.109
32502,0.055,5.916,13.4,7.926,-0.016,0.005,0.001,0.241,0.060
32503,0.022,7.916,10.3,10.797,-0.028,0.004,0.001,0.180,0.073
32601,0.148,5.821,14.5,6.765,-0.014,0.005,0.002,0.213,0.108
32602,0.068,5.504,13.5,10.139,-0.030,0.005,0.001,0.170,0.093
32603,0.010,5.971,11.8,,,,0.001,0.192,0.084
32604,0.058,5.626,13.3,-1.516,-0.022,0.005,0.002,0.203,0.084
32701,0.063,5.841,12.8,9.944,-0.009,0.004,0.002,0.203,0.104
32702,0.052,5.216,14.7,7.532,-0.016,0.004,0.001,0.150,0.076
32801,0.191,5.560,14.9,1.721,0.002,0.004,0.002,0.240,0.098
32802,0.078,6.463,13.8,1.524,-0.012,0.004,0.002,0.210,0.095
32900,0.091,5.490,15.2,3.108,-0.010,0.003,0.001,0.205,0.098
33000,0.230,5.928,16.6,-0.276,0.007,0.004,0.001,0.195,0.110
33100,0.262,6.018,16.6,-1.675,0.004,0.004,0.002,0.202,0.101
33200,0.129,6.042,14.2,5.650,-0.014,0.004,0.003,0.212,0.107
33300,0.200,5.168,15.0,3.891,-0.009,0.004,0.002,0.204,0.097
33400,0.121,5.525,14.6,4.051,-0.008,0.004,0.003,0.218,0.104
33500,0.163,5.480,14.2,4.345,-0.003,0.003,0.003,0.252,0.105
33601,0.105,4.616,17.1,-1.779,-0.009,0.004,0.002,0.223,0.110
33602,0.081,4.880,15.6,5.331,-0.004,0.004,0.001,0.199,0.110
33603,0.020,6.161,13.8,-8.750,0.017,0.004,0.002,0.193,0.088
33700,0.077,4.889,15.7,-2.527,-0.007,0.005,0.003,0.197,0.113
33801,0.076,5.110,14.1,1.210,0.010,0.005,0.001,0.185,0.102
33802,0.152,4.687,15.5,-1.913,-0.007,0.004,0.002,0.200,0.111
33803,0.170,4.687,17.0,-3.512,0.018,0.004,0.001,0.234,0.122
33901,0.033,5.012,15.2,-3.446,0.008,0.004,0.002,0.202,0.112
33902,0.122,5.715,14.8,8.063,-0.010,0.004,0.001,0.202,0.114
34001,0.176,4.738,17.1,-1.747,0.002,0.004,0.002,0.226,0.114
34002,0.163,4.887,15.6,-1.466,0.000,0.004,0.002,0.221,0.110
34101,0.000,,12.2,,,,0.004,0.282,0.080
34102,0.082,8.706,20.0,-5.599,0.044,0.005,0.002,0.200,0.125
34103,0.013,10.053,16.5,-0.438,-0.004,0.006,0.003,0.166,0.114
34104,0.000,11.360,20.7,,,,0.000,0.112,0.129
34105,0.044,,17.9,-25.289,0.095,0.005,0.028,0.248,0.066
34106,0.143,,14.2,-30.813,0.017,0.006,0.004,0.209,0.074
34107,0.082,,14.1,-28.735,0.109,0.006,0.003,0.195,0.091
34108,0.076,8.420,20.3,-1.741,0.007,0.005,0.004,0.137,0.102
34109,0.051,9.217,27.7,-4.643,0.036,0.006,0.004,0.193,0.117
34110,0.040,8.366,17.1,5.428,0.004,0.007,0.004,0.188,0.119
34111,0.112,8.460,18.5,-6.395,0.042,0.006,0.005,0.210,0.134
34112,0.132,,14.2,-32.785,0.072,0.006,0.003,0.195,0.062
34113,0.034,,14.8,-25.019,0.098,0.007,0.001,0.250,0.092
34114,0.039,,16.7,,,,0.008,0.134,0.128
34115,0.139,8.849,18.2,-3.754,0.051,0.005,0.002,0.177,0.106
34201,0.472,6.557,15.3,-4.699,0.018,0.005,0.003,0.223,0.092
34202,0.515,6.803,14.6,-7.629,0.014,0.005,0.001,0.193,0.088
34203,0.114,5.102,16.7,12.992,-0.021,0.005,0.003,0.200,0.113
34204,0.012,5.873,16.4,16.404,-0.010,0.007,0.002,0.143,0.106
34301,0.021,7.041,16.3,14.809,-0.001,0.007,0.001,0.153,0.106
34302,0.047,6.149,15.8,7.028,,0.007,0.003,0.157,0.109
34303,0.226,8.755,14.6,-2.510,0.035,0.006,0.001,0.216,0.127
34304,0.421,6.880,15.5,1.819,0.017,0.006,0.001,0.204,0.121
34305,0.023,5.025,15.9,10.444,-0.006,0.007,0.002,0.219,0.118
34306,0.000,6.802,11.9,,,,0.001,0.111,0.055
34307,0.495,7.773,13.4,-3.745,0.010,0.006,0.002,0.192,0.097
34308,0.065,5.226,17.9,6.772,-0.001,0.006,0.001,0.197,0.117
34309,0.005,6.585,13.4,,,,0.000,0.126,0.084
34401,0.008,5.431,18.6,11.176,-0.003,0.007,0.000,0.123,0.083
34402,0.021,6.050,16.8,13.863,-0.005,0.006,0.001,0.148,0.092
34403,0.009,5.237,17.3,8.937,0.001,0.006,0.001,0.184,0.126
34404,0.027,5.335,18.0,6.263,0.017,0.005,0.001,0.215,0.120
34501,0.011,4.668,19.5,4.734,0.031,0.006,0.001,0.156,0.110
34502,0.004,5.077,17.1,5.058,-0.010,0.004,0.001,0.181,0.116
34503,0.173,4.985,17.9,5.978,0.008,0.006,0.001,0.191,0.118
34504,0.033,5.145,17.4,8.573,0.004,0.005,0.002,0.196,0.108
34601,0.021,7.142,14.5,5.883,0.009,0.007,0.002,0.152,0.098
34602,0.066,7.182,13.7,-5.208,0.016,0.007,0.003,0.192,0.123
34603,0.025,6.458,17.0,-0.214,0.059,0.006,0.001,0.221,0.132
34604,0.000,7.655,12.5,,,,0.002,0.156,0.106
34701,0.140,6.563,18.4,-14.799,0.018,0.003,0.001,0.167,0.084
34702,0.064,6.563,18.0,,,0.004,0.002,0.207,0.098
34703,0.119,6.563,18.3,,,0.004,0.001,0.199,0.109
34801,0.092,5.370,17.1,-13.802,-0.029,0.006,0.002,0.266,0.124
34802,0.201,5.527,17.4,-16.690,0.012,0.006,0.002,0.236,0.134
34803,0.080,6.570,15.7,-11.254,0.039,0.005,0.002,0.255,0.109
34804,0.000,6.400,13.5,,,,0.003,0.169,0.099
34805,0.112,5.952,15.9,-4.938,,0.005,0.002,0.213,0.104
34901,0.177,5.091,17.4,-13.662,0.033,0.005,0.003,0.239,0.125
34902,0.204,5.411,16.3,-15.373,-0.025,0.005,0.004,0.248,0.123
35001,0.208,5.546,20.3,-10.107,,0.005,0.002,0.203,0.110
35002,0.287,4.606,21.8,-7.113,,0.004,0.002,0.191,0.100
35100,0.220,5.806,19.5,-10.137,,0.005,0.002,0.239,0.117
35201,0.040,5.357,18.4,1.926,,0.006,0.002,0.190,0.115
35202,0.017,7.487,14.4,5.732,,0.007,0.001,0.166,0.080
35300,0.298,5.098,17.3,-8.531,0.005,0.005,0.002,0.210,0.108
35401,0.287,5.514,18.9,-4.780,,0.006,0.002,0.211,0.116
35402,0.383,6.648,16.7,-7.301,-0.013,0.005,0.001,0.194,0.106
35500,0.476,6.187,17.6,-19.598,0.025,0.004,0.002,0.268,0.079
35600,0.043,6.563,18.2,,,0.004,0.001,0.240,0.107
35701,0.033,5.491,18.6,1.241,0.011,0.006,0.001,0.156,0.108
35702,0.041,4.100,19.6,-4.158,0.003,0.006,0.001,0.133,0.083
35801,0.085,5.057,19.5,-0.770,0.035,0.005,0.001,0.167,0.115
35802,0.093,5.991,18.0,-0.764,-0.004,0.005,0.001,0.179,0.094
35803,0.006,7.824,16.5,10.852,0.000,0.007,0.002,0.144,0.116
35901,0.028,4.922,22.0,0.549,-0.011,0.006,0.001,0.136,0.072
35902,0.039,4.631,21.0,4.096,-0.015,0.005,0.001,0.130,0.079
35903,0.019,6.369,18.2,1.621,-0.034,0.007,0.001,0.246,0.156
35904,0.015,4.918,21.1,10.733,-0.011,0.006,0.002,0.120,0.070
35905,0.000,8.200,15.1,,,,0.001,0.115,0.060
36000,0.059,4.742,22.2,-1.256,-0.018,0.005,0.001,0.095,0.050
36100,0.114,4.322,22.3,-8.394,0.009,0.005,0.001,0.147,0.092
36200,0.053,4.231,21.0,6.228,-0.003,0.005,0.000,0.102,0.056
36301,0.128,4.484,19.7,3.003,-0.003,0.006,0.001,0.147,0.087
36302,0.013,4.926,17.7,8.031,0.014,0.006,0.001,0.142,0.117
36303,0.027,5.876,17.6,-31.837,,0.007,0.002,0.133,0.105
36401,0.032,5.607,17.6,8.282,,0.007,0.002,0.156,0.107
36402,0.151,4.564,20.6,-3.364,0.004,0.005,0.001,0.148,0.087
36403,0.018,4.584,18.2,5.784,-0.020,0.007,0.001,0.103,0.070
36404,0.042,7.307,16.1,1.942,0.021,0.006,0.001,0.150,0.110
36501,0.106,6.149,20.1,-8.530,-0.008,0.004,0.003,0.224,0.125
36502,0.010,7.314,16.0,3.847,-0.019,0.005,0.001,0.139,0.127
36503,0.010,6.849,17.5,8.200,-0.039,0.005,0.002,0.175,0.136
36600,0.042,5.688,22.4,-9.694,,0.004,0.004,0.238,0.133
36700,0.070,6.499,20.5,-7.355,,0.004,0.004,0.271,0.130
36800,0.038,5.787,21.0,3.153,0.023,0.004,0.001,0.228,0.127
36901,0.117,5.377,20.4,-9.264,0.002,0.005,0.005,0.255,0.127
36902,0.010,5.806,19.4,-4.257,0.004,0.004,0.001,0.219,0.124
37000,0.121,5.838,23.5,-18.956,,0.004,0.005,0.204,0.101
37100,0.214,5.756,23.6,-21.294,,0.003,0.005,0.229,0.095
37200,0.168,5.555,23.2,-18.836,,0.003,0.006,0.222,0.087
37300,0.100,5.606,22.7,-14.579,,0.004,0.004,0.223,0.112
37400,0.161,5.495,23.3,-11.615,-0.020,0.004,0.004,0.225,0.111
37500,0.218,5.952,24.0,-20.475,,0.004,0.003,0.155,0.091
37601,0.121,6.640,17.9,-9.153,-0.002,0.005,0.002,0.144,0.114
37602,0.021,6.121,17.5,-7.491,-0.011,0.005,0.003,0.137,0.123
37603,0.028,5.694,22.0,-2.797,,0.006,0.006,0.224,0.118
37604,0.097,6.015,19.6,-10.295,0.000,0.005,0.002,0.205,0.146
37700,0.074,7.597,21.3,-14.668,,0.005,0.004,0.207,0.127
37800,0.207,5.917,22.9,-17.251,,0.004,0.003,0.193,0.097
37901,0.138,5.344,21.1,-16.716,,0.004,0.002,0.221,0.136
