commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
2100,0.158,5.723,14.2,-0.067,0.026,0.004,0.002,0.262,0.085
2200,0.027,5.389,,4.092,-0.003,0.003,0.001,0.266,0.086
2300,0.132,5.263,,3.333,,0.004,0.001,0.230,0.089
2400,0.257,5.919,,4.649,,0.005,0.002,0.259,0.098
2500,0.181,5.966,,3.348,,0.004,0.002,0.266,0.091
2600,0.104,5.356,16.5,-11.577,0.012,0.003,0.005,0.350,0.084
2700,0.181,4.627,18.4,-3.592,0.002,0.003,0.002,0.244,0.121
2800,0.138,4.429,17.9,-9.186,0.001,0.003,0.002,0.258,0.098
2900,0.220,4.261,16.8,-7.941,-0.005,0.003,0.002,0.269,0.099
3001,0.135,4.336,19.8,-13.492,-0.025,0.002,0.002,0.394,0.083
3002,0.138,4.664,20.1,-23.049,0.041,0.003,0.002,0.401,0.079
3003,0.288,4.618,19.2,-15.257,0.005,0.004,0.002,0.303,0.104
3101,0.083,4.398,17.8,-16.041,0.011,0.002,0.002,0.308,0.094
3102,0.098,4.338,18.3,-8.088,0.016,0.002,0.001,0.240,0.088
3201,0.145,4.508,16.4,1.447,0.014,0.003,0.006,0.191,0.080
3202,0.194,4.645,18.6,-19.332,0.012,0.002,0.004,0.350,0.106
3203,0.239,4.492,18.3,-18.280,0.030,0.003,0.004,0.371,0.091
3300,0.354,5.098,17.6,-10.714,0.053,0.003,0.003,0.312,0.112
3400,0.177,4.086,17.0,-11.857,0.038,0.003,0.003,0.214,0.091
3500,0.292,4.793,17.1,-11.033,0.041,0.003,0.004,0.266,0.097
3600,0.263,4.587,16.9,-6.213,0.042,0.003,0.004,0.281,0.098
3700,0.239,4.854,16.3,-1.394,0.014,0.003,0.002,0.225,0.098
3800,0.194,4.335,17.0,-6.928,0.031,0.002,0.003,0.258,0.097
3901,0.320,4.623,17.0,-6.315,0.046,0.002,0.004,0.307,0.094
3902,0.266,4.400,16.2,-5.451,0.055,0.003,0.003,0.317,0.076
4001,0.071,4.759,16.6,-11.371,0.000,0.002,0.005,0.277,0.092
4002,0.237,4.655,17.4,-12.555,0.049,0.002,0.003,0.327,0.110
4003,0.207,4.639,15.5,-4.971,0.020,0.002,0.003,0.287,0.080
4004,0.160,4.458,16.0,-9.206,0.027,0.002,0.003,0.236,0.090
4101,0.054,4.643,17.4,-11.593,0.009,0.003,0.002,0.225,0.097
4102,0.238,5.002,18.0,-15.882,0.009,0.003,0.003,0.317,0.107
4103,0.093,4.725,16.6,-9.728,0.005,0.003,0.002,0.270,0.106
4200,0.278,5.365,17.4,-9.092,0.007,0.004,0.003,0.247,0.120
4301,0.113,4.673,15.9,-12.254,0.013,0.004,0.001,0.274,0.111
4302,0.135,4.533,17.1,3.540,0.007,0.004,0.001,0.197,0.105
4401,0.105,6.015,16.7,-2.237,0.016,0.003,0.000,0.201,0.107
4402,0.105,5.932,15.9,-0.157,-0.003,0.003,0.002,0.205,0.107
