county id,commuting zone id,teenage br,mean parent income
13115,6600,0.198,67800
13117,9100,0.124,101800
13119,9302,0.228,56800
13121,9100,0.207,115800
13123,6501,0.21,50100
13125,8401,,
13127,8602,0.217,73900
13129,6600,0.234,57100
13131,10102,0.215,45600
13133,8402,0.232,43600
13135,9100,0.115,95900
13137,9400,0.208,60600
13139,9400,0.196,83600
13141,9002,0.246,37400
13143,9600,0.24,53600
13145,9701,0.172,64700
13147,9302,0.216,51300
13149,9600,0.263,47300
13151,9100,0.153,80900
13153,8900,0.155,75300
13155,8501,0.275,46900
13157,9400,0.194,59700
13159,9100,0.253,52500
13161,9001,0.309,50600
13163,8401,0.242,40700
13165,8702,0.249,43200
13167,9003,0.263,40400
13169,8900,0.177,63000
13171,9200,0.207,50300
13173,8503,,
13175,9003,0.197,58900
13177,10200,0.185,68800
13179,8701,0.224,52200
13181,8402,0.196,52000
13183,8701,,
13185,8503,0.214,63900
13187,9400,0.152,57400
13189,8401,0.248,56600
13191,8602,0.33,38000
13193,9702,0.261,39600
13195,9301,0.212,55500
13197,9702,,
13199,9701,0.252,45900
13201,10101,0.201,45500
13205,10200,0.24,39400
13207,8900,0.207,61800
13209,9001,0.285,38400
13211,9100,0.214,62200
13213,6600,0.24,54600
13215,9701,0.206,65000
13217,9100,0.224,52600
13219,9301,0.09,90700
13221,9301,0.211,51200
13223,9100,0.187,73900
13225,8900,0.224,55300
13227,9100,0.196,64100
13229,8601,0.237,49300
13231,9200,0.201,74600
13233,6600,0.258,49700
13235,8900,0.201,50400
13237,9002,0.187,54000
13239,10301,,
13241,1201,0.189,59300
13243,10301,0.234,36500
13245,8401,0.195,65900
13247,9100,0.178,70900
13249,9702,,
13251,8702,0.231,46100
13253,10101,0.234,51800
13255,9200,0.258,55700
13257,9302,0.202,56500
13259,9702,,
13261,9702,0.22,54500
13263,9701,0.227,39100
13265,8402,,
13267,8701,0.251,45800
13269,8900,0.232,42200
13271,9001,0.222,40000
13273,10200,0.283,38500
13275,10102,0.225,58900
13277,8503,0.227,53800
13279,9001,0.23,57700
13281,1204,,
13283,9001,0.264,41400
13285,9600,0.232,70300
13287,8503,0.241,36200
13289,8900,0.268,44300
13291,1204,0.154,56100
13293,9200,0.237,50500
13295,6401,0.22,57900
13297,9100,0.223,63700
13299,8601,0.233,48500
13301,8401,0.25,33900
13303,9003,0.217,51400
13305,8701,0.246,53600
13307,9702,,
13309,9001,,
13311,9400,0.188,53700
13313,6600,0.234,92000
13315,8502,0.235,46500
13317,8402,0.185,48400
13319,9002,0.237,51800
13321,10200,0.221,50000
15001,35600,0.146,63600
15003,34701,0.114,84300
15005,34703,,
15007,34702,0.133,63800
15009,34703,0.131,71400
16001,35801,0.116,101500
16003,35803,,
16005,36301,0.14,74300
16007,36403,0.11,61100
16009,38601,0.168,54700
16011,36301,0.158,66000
16013,35701,0.085,122400
16015,35801,,
16017,38601,0.136,61800
16019,36301,0.13,87800
16021,34501,0.143,52100
16023,36301,,
16025,35701,,
16027,35801,0.203,65300
16029,36403,0.13,71300
16031,35702,0.174,68600
16033,36301,,
16035,38401,0.16,57600
16037,36302,,
16039,35801,0.175,59700
16041,36200,0.122,62000
16043,36301,0.165,54000
16045,35801,0.131,57500
16047,35701,0.189,57300
16049,38401,0.14,52200
16051,36301,0.131,64300
16053,35701,0.194,62000
16055,38601,0.143,71800
16057,38402,0.079,71000
16059,36302,0.161,52600
16061,38401,0.154,50400
16063,35701,,
16065,36301,0.102,76000
16067,35702,0.204,56500
16069,38401,0.155,75100
16071,36200,,
16073,35801,0.249,47800
16075,35802,0.192,56100
16077,36301,0.148,65500
16079,38601,0.179,48700
16081,36303,0.11,58300
16083,35701,0.178,67500
16085,35803,0.128,73200
16087,35802,0.158,51700
17001,25000,0.131,74900
17003,25601,0.286,41900
17005,24900,0.126,68500
17007,24400,0.124,95200
17009,24801,,
17011,23900,0.115,71900
17013,24900,,
17015,24400,0.118,74100
17017,24801,0.177,61600
17019,23500,0.133,92100
17021,24802,0.164,67500
17023,23301,0.131,61300
17025,23302,0.194,54900
17027,25500,0.099,79200
17029,23301,0.154,74400
17031,24300,0.174,92500
17033,23302,0.156,65000
17035,23301,0.122,61500
17037,24400,0.107,90600
17039,23400,0.15,74000
17041,23500,0.135,69800
17043,24300,0.049,164500
17045,23301,0.153,62100
17047,14801,0.128,61200
17049,23302,0.119,86900
17051,23302,0.214,57500
17053,23500,0.133,63300
17055,25601,0.195,54100
17057,23700,0.157,63200
17059,25602,0.13,51600
17061,24801,0.135,56000
17063,24300,0.089,97200
17065,25500,0.174,55400
17067,23600,0.113,62800
17069,25602,,
17071,23600,0.169,60000
17073,23801,0.113,75800
17075,24200,0.142,67700
17077,25601,0.153,70200
17079,23302,0.113,61600
17081,25500,0.173,71600
17083,24900,0.13,69100
17085,23200,0.103,73000
17087,25601,0.155,57500
17089,24300,0.13,118700
17091,24200,0.173,74600
17093,24300,0.094,104800
17095,23700,0.142,87100
17097,24300,0.093,193100
17099,23900,0.14,79500
17101,14802,0.188,57200
17103,24400,0.125,76300
17105,23400,0.123,77700
17107,24802,0.147,68500
17109,23700,0.115,70300
17111,24300,0.068,117500
17113,23400,0.111,102600
17115,23500,0.197,81100
17117,24900,0.139,66100
17119,24900,0.143,86500
17121,25500,0.187,66800
17123,23900,0.115,71600
17125,23900,0.153,66200
17127,25401,0.203,64700
17129,24802,0.132,81000
17131,23801,0.115,68900
17133,24701,0.076,95100
17135,24900,0.183,65800
17137,24801,0.144,75200
17139,23500,0.149,74600
17141,24400,0.125,79900
17143,23900,0.182,94500
17145,25601,0.145,58200
17147,23500,0.126,83900
17149,25000,0.166,57000
17151,25401,,
17153,25601,0.249,46000
17155,23900,0.103,93300
17157,25601,0.135,71100
17159,14801,0.159,65400
17161,23801,0.17,81700
17163,24701,0.196,76700
17165,25602,0.193,60900
17167,24802,0.154,101000
17169,24801,0.138,54400
17171,24801,,
17173,23500,0.152,64500
17175,23801,0.126,74000
17177,24400,0.155,79600
17179,23900,0.131,87500
17181,25601,0.169,61000
17183,14500,0.21,69100
17185,14700,0.149,65700
17187,23700,0.166,61900
17189,25500,0.12,73000
17191,14801,0.172,59700
17193,14801,0.167,57800
17195,24400,0.164,75600
17197,24300,0.105,105700
17199,25601,0.148,66600
17201,24400,0.159,86900
17203,23900,0.079,102800
18001,14100,0.119,77300
18003,14100,0.162,99500
18005,14300,0.171,92100
18007,14500,0.128,63000
18009,14000,0.171,67800
18011,14200,0.116,134200
18013,14200,0.148,68100
18015,14500,0.127,70600
18017,13900,0.161,76100
18019,13101,0.173,70900
18021,14400,0.173,63300
18023,14500,0.167,71900
18025,13101,0.19,53900
18027,14600,0.138,70800
18029,12800,0.157,81600
18031,12800,0.171,70500
18033,14100,0.184,91100
18035,14000,0.182,78600
18037,14700,0.088,92400
18039,13700,0.172,89800
18041,12600,0.208,68800
18043,13101,0.139,87000
18045,14500,0.177,65800
18047,12800,0.18,68400
18049,13800,0.167,68500
18051,14700,0.151,71400
18053,14000,0.21,71500
18055,14600,0.172,62900
18057,14200,0.066,173600
18059,14200,0.123,101200
18061,13101,0.142,69100
18063,14200,0.1,107900
18065,14000,0.154,76100
18067,13900,0.165,90100
18069,14100,0.168,80000
18071,14300,0.203,72700
18073,14900,0.128,77500
18075,14100,0.16,61600
18077,13102,0.179,63800
18079,14300,0.225,60300
18081,14200,0.128,104900
18083,14802,0.146,70300
18085,13800,0.164,94500
18087,13700,0.13,68900
18089,14900,0.168,79900
18091,13600,0.174,77800
18093,14600,0.203,70000
18095,14000,0.174,80400
18097,14200,0.207,84500
18099,13600,0.167,76500
18101,14600,0.175,60100
18103,13900,0.185,70900
18105,14600,0.131,93100
18107,14400,0.168,72000
18109,14200,0.176,84600
18111,14900,0.175,69100
18113,13700,0.193,71800
18115,12800,,
18117,14600,0.182,65700
18119,14600,0.208,63500
18121,14400,0.162,62700
18123,14700,0.162,69100
18125,14700,0.162,61000
18127,14900,0.102,102900
18129,14700,0.131,82900
18131,13900,0.135,68100
18133,14400,0.19,70700
18135,14000,0.199,60500
18137,12800,0.129,86200
18139,14200,0.164,70600
18141,13600,0.162,90400
18143,14300,0.203,78000
18145,14200,0.163,75900
18147,14700,0.168,69400
18149,13600,0.227,56500
18151,14100,0.16,79300
18153,14400,0.172,59500
18155,12800,0.194,51000
18157,14500,0.129,95000
18159,13900,0.138,91600
18161,12600,0.177,63700
18163,14700,0.172,96400
18165,14400,0.149,65800
18167,14400,0.172,77100
18169,13800,0.164,74000
18171,14500,,
18173,14700,0.118,95200
18175,13101,0.195,59300
18177,12600,0.19,71800
18179,14100,0.102,79500
18181,14500,0.16,66600
18183,14100,0.132,81300
19001,27501,0.097,67100
19003,28201,,
19005,23200,0.118,59600
19007,26106,0.139,55800
19009,27503,0.125,60500
19011,22200,0.086,73000
19013,22001,0.135,85800
19015,27501,0.116,74700
19017,22001,0.077,84600
19019,22001,0.101,72100
19021,27401,0.095,73500
19023,22001,0.061,63600
19025,27402,0.071,62400
19027,27504,0.067,70800
19029,27503,0.126,63400
19031,22100,0.09,69600
19033,21801,0.104,80500
19035,27401,0.1,66100
19037,21802,0.084,73400
19039,27502,0.164,59500
19041,27301,0.084,81300
19043,23200,0.085,64700
19045,23802,0.125,74400
19047,27504,0.114,60200
19049,27501,0.096,87900
19051,22300,0.109,57400
19053,27502,0.178,47900
19055,23200,0.079,67600
19057,23600,0.138,81600
19059,27301,0.085,88700
19061,23200,0.092,90800
19063,27302,0.11,59700
19065,22001,0.097,60800
19067,21802,0.093,69100
19069,22002,0.143,73700
19071,28201,0.105,58900
19073,27504,0.113,60800
19075,22001,0.081,71800
19077,27501,0.115,63500
19079,27402,0.09,67300
19081,21801,0.116,61100
19083,22002,0.107,64500
19085,28202,0.108,64900
19087,23600,0.135,72400
19089,21802,0.091,57700
19091,27402,0.082,67800
19093,27401,0.104,68200
19095,22200,0.078,89000
19097,23802,0.087,64200
19099,21900,0.133,85300
19101,22300,0.085,111200
19103,22100,0.067,122100
19105,22200,0.093,63400
19107,22300,0.123,60000
19109,27301,0.073,63100
19111,23600,0.126,70600
19113,22200,0.099,101100
19115,22100,0.164,67000
19117,26106,0.1,61100
19119,27201,0.087,61200
19121,27501,0.107,75900
19123,22300,0.11,65400
19125,22300,0.101,79700
19127,21900,0.154,77200
19129,28202,0.112,109500
19131,21802,0.103,65500
19133,28001,0.14,63100
19135,22300,0.125,56600
19137,28201,0.108,62200
19139,22100,0.166,78500
19141,27201,0.113,65200
19143,27202,0.107,59600
19145,28201,0.128,68800
19147,27301,0.079,67000
19149,28001,0.088,73500
19151,27402,0.082,61000
19153,27501,0.131,108700
19155,28202,0.145,74200
19157,21900,0.116,77900
19159,27502,,
19161,27401,0.104,62200
19163,23801,0.146,95300
19165,27503,0.073,69700
19167,27201,0.067,86700
19169,27501,0.052,104400
19171,21900,0.14,66900
19173,28201,0.115,52900
19175,27502,0.122,68800
19177,22300,0.116,54600
19179,22300,0.167,67800
19181,27501,0.102,85300
19183,22100,0.084,64500
19185,26106,0.175,47400
19187,27402,0.147,83200
19189,21801,0.081,68200
19191,21802,0.057,74300
19193,28001,0.153,84900
19195,21801,0.115,63200
19197,27402,0.149,61600
20001,29401,0.178,58600
20003,29401,0.17,57700
20005,29501,0.176,67800
20007,29001,0.11,55600
20009,29004,0.143,64500
20011,29901,0.187,59800
20013,29201,0.174,56700
20015,29301,0.143,85700
20017,29402,,
20019,29303,,
20021,29901,0.199,58200
20023,28606,,
20025,29003,,
20027,29203,0.128,63300
20029,29101,0.118,66600
20031,29402,0.126,70300
20033,29002,,
20035,29303,0.19,69200
20037,29901,0.154,61900
20039,28601,,
20041,29203,0.139,65300
20043,29503,0.161,59100
20045,29204,0.102,92100
20047,29004,,
20049,29303,,
20051,29006,0.09,79200
20053,29005,0.129,67300
20055,31001,0.251,70300
20057,29003,0.208,67800
20059,29401,0.177,65400
20061,29203,0.223,53600
20063,28604,,
20065,29007,,
20067,31002,0.255,67700
20069,29003,0.112,67300
20071,31003,,
20073,29303,0.179,66100
20075,31001,,
20077,29301,0.139,61900
20079,29302,0.154,77400
20081,31001,,
20083,29003,,
20085,29204,0.124,60600
20087,29204,0.125,66900
20089,29101,,
20091,29502,0.067,159400
20093,31001,,
20095,29301,0.142,68000
20097,29001,,
20099,29403,0.177,58700
20101,29008,,
20103,29501,0.126,78200
20105,29104,,
20107,29502,0.185,58400
20109,28604,,
20111,29402,0.164,69400
20113,29302,0.114,74300
20115,29302,0.127,64800
20117,29202,0.096,70700
20119,31004,,
20121,29502,0.135,76200
20123,29103,0.069,60800
20125,29403,0.207,58700
20127,29203,0.095,68700
20129,31006,,
20131,29201,0.053,70300
20133,29403,0.155,60000
20135,29008,,
20137,28602,0.082,55700
20139,29204,0.16,61400
20141,29103,,
20143,29104,0.135,60900
20145,29004,0.139,61900
20147,28603,0.127,57300
20149,29203,0.126,68700
20151,29001,0.121,76100
20153,28601,,
20155,29005,0.167,74100
20157,29101,0.12,57900
20159,29005,0.143,62200
20161,29203,0.094,81300
20163,29007,0.121,59100
20165,29004,,
20167,29006,0.153,55900
20169,29104,0.173,79500
20171,31003,0.102,69300
20173,29301,0.176,94600
20175,31004,0.253,69300
20177,29204,0.161,85900
20179,28604,,
20181,28605,0.177,62300
20183,28603,,
20185,29004,,
20187,31002,,
20189,31002,0.23,76500
20191,29301,0.179,77000
20193,28604,0.117,67200
20195,29006,,
20197,29204,0.122,62900
20199,28605,,
20201,29202,0.097,55000
20203,31003,,
20205,29403,0.189,54000
20207,29401,,
20209,29502,0.257,58200
21001,4601,0.218,43400
21003,5401,0.187,53400
21005,12901,0.155,72900
21007,25401,,
21009,5402,0.176,61700
21011,12902,0.207,43100
21013,301,0.179,44900
21015,12701,0.127,102000
21017,12901,0.151,66100
21019,17100,0.147,83100
21021,12903,0.171,69800
21023,12702,0.178,51800
21025,4501,0.176,45300
21027,13000,0.177,56600
21029,13101,0.167,71100
21031,13200,0.226,50700
21033,25200,0.181,54800
21035,25402,0.143,73000
21037,12701,0.148,85000
21039,25401,,
21041,13102,0.223,49800
21043,17100,0.16,48200
21045,4601,0.183,41100
21047,5900,0.233,58600
21049,12901,0.17,66600
21051,4401,0.184,43400
21053,4602,0.257,38300
21055,25200,0.22,60600
21057,5402,,
21059,13200,0.169,74900
21061,5401,0.234,43500
21063,17100,,
21065,4402,0.203,41100
21067,12901,0.154,101100
21069,12702,0.17,47900
21071,17000,0.157,54700
21073,12901,0.166,72700
21075,25300,0.195,54000
21077,12701,,
21079,12903,0.149,54200
21081,12701,0.221,60400
21083,25300,0.179,61400
21085,13000,0.205,49000
21087,4601,0.208,46000
21089,17100,0.162,64200
21091,13200,0.201,64900
21093,13000,0.175,65700
21095,4502,0.195,46000
21097,12901,0.175,63100
21099,5402,0.209,42900
21101,25200,0.192,71600
21103,13101,0.196,57600
21105,25300,,
21107,25200,0.192,65100
21109,4402,0.191,36900
21111,13101,0.177,92200
21113,12901,0.148,79400
21115,17000,0.175,53700
21117,12701,0.157,96600
21119,4502,0.154,49700
21121,4401,0.258,38700
21123,13000,0.165,57100
21125,4401,0.182,63800
21127,17000,0.13,48200
21129,4501,,
21131,4502,0.143,45600
21133,4502,0.161,50600
21135,12702,0.219,39600
21137,12903,0.234,47200
21139,25401,0.156,63200
21141,5401,0.209,58700
21143,25200,,
21145,25401,0.163,91400
21147,4602,0.216,37200
21149,13200,0.205,56500
21151,4402,0.186,64900
21153,17000,0.209,41500
21155,13103,0.178,51500
21157,25401,0.164,75300
21159,17000,0.161,44200
21161,12702,0.168,72600
21163,13000,0.173,59300
21165,12902,,
21167,12903,0.184,61000
21169,5402,0.193,40300
21171,5402,0.177,57000
21173,12902,0.196,61600
21175,4501,0.16,42500
21177,13200,0.204,55800
21179,13103,0.156,73100
21181,12901,0.233,45300
21183,13200,0.215,48400
21185,13101,0.092,123600
21187,12901,0.197,51700
21189,4501,,
21191,12701,0.189,60700
21193,4502,0.141,56100
21195,17000,0.156,57600
21197,12901,0.262,44400
21199,4602,0.192,56600
21201,12901,,
21203,4402,0.218,41000
21205,17100,0.157,55500
21207,4601,0.178,44800
21209,12901,0.19,81400
21211,13101,0.177,78000
21213,5401,0.241,60400
21215,13101,0.145,61400
21217,4601,0.184,54600
21219,5900,0.196,51600
21221,5900,0.195,57700
21223,13102,0.182,48900
21225,25200,0.179,66200
21227,5401,0.168,77700
21229,13103,0.134,58400
21231,4602,0.196,41300
21233,25200,0.203,58900
21235,4401,0.208,50300
21237,4501,0.201,36900
21239,12901,0.134,90700
22001,3800,0.21,50500
22003,3700,0.257,48900
22005,3500,0.182,71000
22007,3400,0.185,53200
22009,3600,0.231,48800
22011,3700,0.217,59200
